obs,p,num_surviving_opinions
0,0.0,50
0,0.1,50
0,0.2,50
0,0.3,50
0,0.4,49
0,0.5,46
0,0.6,1
0,0.7,1
0,0.8,1
0,0.9,1
0,1.0,1
1,0.0,50
1,0.1,50
1,0.2,50
1,0.3,50
1,0.4,50
1,0.5,49
1,0.6,45
1,0.7,1
1,0.8,1
1,0.9,1
1,1.0,1
2,0.0,50
2,0.1,50
2,0.2,50
2,0.3,49
2,0.4,44
2,0.5,4
2,0.6,48
2,0.7,41
2,0.8,42
2,0.9,39
2,1.0,2
3,0.0,50
3,0.1,50
3,0.2,50
3,0.3,49
3,0.4,49
3,0.5,1
3,0.6,1
3,0.7,2
3,0.8,2
3,0.9,2
3,1.0,2
4,0.0,50
4,0.1,50
4,0.2,50
4,0.3,50
4,0.4,47
4,0.5,48
4,0.6,46
4,0.7,40
4,0.8,38
4,0.9,1
4,1.0,1
5,0.0,50
5,0.1,50
5,0.2,50
5,0.3,47
5,0.4,50
5,0.5,47
5,0.6,2
5,0.7,46
5,0.8,1
5,0.9,1
5,1.0,1
6,0.0,50
6,0.1,50
6,0.2,50
6,0.3,50
6,0.4,49
6,0.5,49
6,0.6,1
6,0.7,45
6,0.8,1
6,0.9,1
6,1.0,1
7,0.0,50
7,0.1,50
7,0.2,48
7,0.3,50
7,0.4,49
7,0.5,45
7,0.6,45
7,0.7,1
7,0.8,1
7,0.9,1
7,1.0,1
8,0.0,50
8,0.1,50
8,0.2,50
8,0.3,48
8,0.4,48
8,0.5,50
8,0.6,47
8,0.7,45
8,0.8,38
8,0.9,1
8,1.0,1
9,0.0,50
9,0.1,50
9,0.2,50
9,0.3,49
9,0.4,48
9,0.5,50
9,0.6,43
9,0.7,43
9,0.8,1
9,0.9,1
9,1.0,1
10,0.0,50
10,0.1,50
10,0.2,50
10,0.3,49
10,0.4,48
10,0.5,48
10,0.6,44
10,0.7,42
10,0.8,42
10,0.9,1
10,1.0,1
11,0.0,50
11,0.1,50
11,0.2,50
11,0.3,48
11,0.4,48
11,0.5,46
11,0.6,47
11,0.7,1
11,0.8,40
11,0.9,1
11,1.0,1
12,0.0,50
12,0.1,50
12,0.2,50
12,0.3,49
12,0.4,48
12,0.5,3
12,0.6,45
12,0.7,2
12,0.8,3
12,0.9,1
12,1.0,2
13,0.0,50
13,0.1,50
13,0.2,50
13,0.3,50
13,0.4,50
13,0.5,49
13,0.6,1
13,0.7,45
13,0.8,1
13,0.9,41
13,1.0,1
14,0.0,50
14,0.1,50
14,0.2,50
14,0.3,49
14,0.4,46
14,0.5,44
14,0.6,47
14,0.7,39
14,0.8,45
14,0.9,1
14,1.0,1
15,0.0,50
15,0.1,50
15,0.2,50
15,0.3,50
15,0.4,48
15,0.5,45
15,0.6,42
15,0.7,44
15,0.8,1
15,0.9,1
15,1.0,1
16,0.0,50
16,0.1,50
16,0.2,50
16,0.3,49
16,0.4,49
16,0.5,3
16,0.6,5
16,0.7,35
16,0.8,6
16,0.9,40
16,1.0,5
17,0.0,50
17,0.1,50
17,0.2,49
17,0.3,48
17,0.4,50
